id,type,exception_category,amount,variance,ageing_days,recommended_action,month,status
TXNMAY00195,internal,GENUINE_EXCEPTION,23900.7,0,52,Escalate,May,EXCEPTION
TXNMAY00282,internal,GENUINE_EXCEPTION,81212.55,0,47,Escalate,May,EXCEPTION
TXNMAY00186,internal,SETTLEMENT_LAG,37981.73,0,44,Monitor,May,OPEN
TXNMAY00322,internal,GENUINE_EXCEPTION,60674.78,0,50,Escalate,May,EXCEPTION
TXNMAY00178,internal,GENUINE_EXCEPTION,24498.79,0,60,Escalate,May,EXCEPTION
TXNMAY00287,internal,SETTLEMENT_LAG,12850.78,0,40,Monitor,May,OPEN
TXNMAY00284,internal,GENUINE_EXCEPTION,68780.79,0,48,Escalate,May,EXCEPTION
TXNMAY00283,internal,SETTLEMENT_LAG,76873.57,0,43,Monitor,May,OPEN
TXNMAY00176,internal,GENUINE_EXCEPTION,35772.98,0,58,Escalate,May,EXCEPTION
TXNMAY00289,internal,GENUINE_EXCEPTION,-30491.0,0,58,Escalate,May,EXCEPTION
TXNMAY00286,internal,SETTLEMENT_LAG,17303.23,0,44,Monitor,May,OPEN
TXNMAY00321,internal,GENUINE_EXCEPTION,20973.69,0,59,Escalate,May,EXCEPTION
TXNMAY00325,internal,GENUINE_EXCEPTION,66372.15,0,46,Escalate,May,EXCEPTION
TXNMAY00193,internal,GENUINE_EXCEPTION,74014.33,0,53,Escalate,May,EXCEPTION
TXNMAY00188,internal,GENUINE_EXCEPTION,92510.31,0,50,Escalate,May,EXCEPTION
TXNMAY00189,internal,GENUINE_EXCEPTION,41050.03,0,58,Escalate,May,EXCEPTION
TXNMAY00181,internal,GENUINE_EXCEPTION,54320.39,0,53,Escalate,May,EXCEPTION
TXNMAY00290,internal,GENUINE_EXCEPTION,10652.97,0,51,Escalate,May,EXCEPTION
TXNMAY00199,internal,GENUINE_EXCEPTION,75452.73,0,55,Escalate,May,EXCEPTION
TXNMAY00197,internal,GENUINE_EXCEPTION,13110.27,0,57,Escalate,May,EXCEPTION
TXNMAY00198,internal,SETTLEMENT_LAG,33168.55,0,39,Monitor,May,OPEN
TXNMAY00292,internal,GENUINE_EXCEPTION,32569.65,0,57,Escalate,May,EXCEPTION
TXNMAY00324,internal,GENUINE_EXCEPTION,68677.76,0,51,Escalate,May,EXCEPTION
TXNMAY00323,internal,GENUINE_EXCEPTION,50677.13,0,59,Escalate,May,EXCEPTION
TXNMAY00192,internal,GENUINE_EXCEPTION,34673.73,0,48,Escalate,May,EXCEPTION
TXNMAY00200,internal,SETTLEMENT_LAG,54473.28,0,43,Monitor,May,OPEN
TXNMAY00327,internal,GENUINE_EXCEPTION,24166.62,0,51,Escalate,May,EXCEPTION
TXNMAY00297,internal,GENUINE_EXCEPTION,36761.11,0,47,Escalate,May,EXCEPTION
TXNMAY00296,internal,SETTLEMENT_LAG,29142.95,0,45,Monitor,May,OPEN
TXNMAY00182,internal,GENUINE_EXCEPTION,60479.81,0,59,Escalate,May,EXCEPTION
TXNMAY00180,internal,SETTLEMENT_LAG,1807.25,0,43,Monitor,May,OPEN
TXNMAY00177,internal,GENUINE_EXCEPTION,27431.82,0,59,Escalate,May,EXCEPTION
TXNMAY00185,internal,SETTLEMENT_LAG,73794.04,0,38,Monitor,May,OPEN
TXNMAY00291,internal,GENUINE_EXCEPTION,-10652.97,0,51,Escalate,May,EXCEPTION
TXNMAY00288,internal,GENUINE_EXCEPTION,30491.0,0,58,Escalate,May,EXCEPTION
TXNMAY00328,internal,GENUINE_EXCEPTION,35596.64,0,58,Escalate,May,EXCEPTION
TXNMAY00196,internal,GENUINE_EXCEPTION,25053.34,0,57,Escalate,May,EXCEPTION
TXNMAY00285,internal,GENUINE_EXCEPTION,4541.21,0,55,Escalate,May,EXCEPTION
TXNMAY00295,internal,GENUINE_EXCEPTION,-4934.97,0,56,Escalate,May,EXCEPTION
TXNMAY00293,internal,GENUINE_EXCEPTION,-32569.65,0,57,Escalate,May,EXCEPTION
TXNMAY00187,internal,SETTLEMENT_LAG,31699.86,0,40,Monitor,May,OPEN
TXNMAY00191,internal,GENUINE_EXCEPTION,4263.15,0,46,Escalate,May,EXCEPTION
BLJUN00496,bank,DUPLICATE_BANK_CREDIT,71105.39,0,0,Investigate.,June,EXCEPTION
BLJUN00493,bank,DUPLICATE_BANK_CREDIT,74513.95,0,0,Investigate.,June,EXCEPTION
BLJUN00488,bank,DUPLICATE_BANK_CREDIT,24365.58,0,0,Investigate.,June,EXCEPTION
BLJUN00495,bank,DUPLICATE_BANK_CREDIT,71105.39,0,0,Investigate.,June,EXCEPTION
BLJUN00487,bank,DUPLICATE_BANK_CREDIT,24365.58,0,0,Investigate.,June,EXCEPTION
BLJUN00491,bank,DUPLICATE_BANK_CREDIT,14915.27,0,0,Investigate.,June,EXCEPTION
BLJUN00490,bank,DUPLICATE_BANK_CREDIT,49760.72,0,0,Investigate.,June,EXCEPTION
BLJUN00494,bank,DUPLICATE_BANK_CREDIT,74513.95,0,0,Investigate.,June,EXCEPTION
BLJUN00492,bank,DUPLICATE_BANK_CREDIT,14915.27,0,0,Investigate.,June,EXCEPTION
BLJUN00489,bank,DUPLICATE_BANK_CREDIT,49760.72,0,0,Investigate.,June,EXCEPTION
BLJUN00440,bank,ORPHAN_BANK_CREDIT,33899.42,0,0,Check ledger.,June,EXCEPTION
BLJUN00450,bank,ORPHAN_BANK_CREDIT,74567.86,0,0,Check ledger.,June,EXCEPTION
BLJUN00456,bank,ORPHAN_BANK_CREDIT,14813.4,0,0,Check ledger.,June,EXCEPTION
BLJUN00497,bank,ORPHAN_BANK_CREDIT,20368.57,0,0,Check ledger.,June,EXCEPTION
BLJUN00459,bank,ORPHAN_BANK_CREDIT,45242.72,0,0,Check ledger.,June,EXCEPTION
BLJUN00500,bank,ORPHAN_BANK_CREDIT,36200.8,0,0,Check ledger.,June,EXCEPTION
BLJUN00502,bank,ORPHAN_BANK_CREDIT,25776.43,0,0,Check ledger.,June,EXCEPTION
BLJUN00455,bank,ORPHAN_BANK_CREDIT,52987.72,0,0,Check ledger.,June,EXCEPTION
BLJUN00444,bank,ORPHAN_BANK_CREDIT,87530.13,0,0,Check ledger.,June,EXCEPTION
BLJUN00499,bank,ORPHAN_BANK_CREDIT,66408.67,0,0,Check ledger.,June,EXCEPTION
BLJUN00445,bank,ORPHAN_BANK_CREDIT,57683.73,0,0,Check ledger.,June,EXCEPTION
BLJUN00457,bank,ORPHAN_BANK_CREDIT,21091.4,0,0,Check ledger.,June,EXCEPTION
BLJUN00498,bank,ORPHAN_BANK_CREDIT,15813.99,0,0,Check ledger.,June,EXCEPTION
BLJUN00501,bank,ORPHAN_BANK_CREDIT,81909.53,0,0,Check ledger.,June,EXCEPTION
BLJUN00452,bank,ORPHAN_BANK_CREDIT,88034.44,0,0,Check ledger.,June,EXCEPTION
BLJUN00453,bank,ORPHAN_BANK_CREDIT,59048.22,0,0,Check ledger.,June,EXCEPTION
BLJUN00458,bank,ORPHAN_BANK_CREDIT,21208.52,0,0,Check ledger.,June,EXCEPTION
BLJUN00442,bank,ORPHAN_BANK_CREDIT,43555.11,0,0,Check ledger.,June,EXCEPTION
BLJUN00447,bank,ORPHAN_BANK_CREDIT,20843.21,0,0,Check ledger.,June,EXCEPTION
BLJUN00449,bank,ORPHAN_BANK_CREDIT,36337.46,0,0,Check ledger.,June,EXCEPTION
BLJUN00454,bank,ORPHAN_BANK_CREDIT,17061.1,0,0,Check ledger.,June,EXCEPTION
BLJUN00441,bank,ORPHAN_BANK_CREDIT,70602.91,0,0,Check ledger.,June,EXCEPTION
BLJUN00451,bank,ORPHAN_BANK_CREDIT,82496.35,0,0,Check ledger.,June,EXCEPTION
BLJUN00446,bank,ORPHAN_BANK_CREDIT,91550.49,0,0,Check ledger.,June,EXCEPTION
BLJUN00443,bank,ORPHAN_BANK_CREDIT,56087.71,0,0,Check ledger.,June,EXCEPTION
BLJUN00448,bank,ORPHAN_BANK_CREDIT,33624.53,0,0,Check ledger.,June,EXCEPTION
TXNJUN00580,internal,SETTLEMENT_LAG,24365.58,0,22,Monitor,June,OPEN
TXNJUN00505,internal,SETTLEMENT_LAG,82496.35,0,10,Monitor,June,OPEN
TXNJUN00599,internal,SETTLEMENT_LAG,47925.28,0,3,Monitor,June,OPEN
TXNJUN00501,internal,SETTLEMENT_LAG,20843.21,0,9,Monitor,June,OPEN
TXNJUN00610,internal,SETTLEMENT_LAG,87437.83,0,3,Monitor,June,OPEN
TXNJUN00512,internal,SETTLEMENT_LAG,21208.52,0,18,Monitor,June,OPEN
TXNJUN00608,internal,SETTLEMENT_LAG,69931.9,0,2,Monitor,June,OPEN
TXNJUN00594,internal,SETTLEMENT_LAG,63700.48,0,1,Monitor,June,OPEN
TXNJUN00598,internal,SETTLEMENT_LAG,24989.94,0,3,Monitor,June,OPEN
TXNJUN00499,internal,SETTLEMENT_LAG,57683.73,0,10,Monitor,June,OPEN
TXNJUN00607,internal,SETTLEMENT_LAG,17568.83,0,1,Monitor,June,OPEN
TXNJUN00583,internal,SETTLEMENT_LAG,74513.95,0,9,Monitor,June,OPEN
TXNJUN00498,internal,SETTLEMENT_LAG,87530.13,0,5,Monitor,June,OPEN
TXNJUN00497,internal,SETTLEMENT_LAG,56087.71,0,8,Monitor,June,OPEN
TXNJUN00584,internal,SETTLEMENT_LAG,71105.39,0,23,Monitor,June,OPEN
TXNJUN00506,internal,SETTLEMENT_LAG,88034.44,0,28,Monitor,June,OPEN
TXNJUN00592,internal,SETTLEMENT_LAG,16093.9,0,26,Monitor,June,OPEN
TXNJUN00616,internal,SETTLEMENT_LAG,81772.91,0,22,Monitor,June,OPEN
TXNJUN00591,internal,SETTLEMENT_LAG,20755.81,0,10,Monitor,June,OPEN
TXNJUN00502,internal,SETTLEMENT_LAG,33624.53,0,5,Monitor,June,OPEN
TXNJUN00605,internal,SETTLEMENT_LAG,9062.64,0,1,Monitor,June,OPEN
TXNJUN00494,internal,SETTLEMENT_LAG,33899.42,0,19,Monitor,June,OPEN
TXNJUN00589,internal,SETTLEMENT_LAG,4121.55,0,16,Monitor,June,OPEN
TXNJUN00510,internal,SETTLEMENT_LAG,14813.4,0,28,Monitor,June,OPEN
TXNJUN00612,internal,SETTLEMENT_LAG,30135.75,0,19,Monitor,June,OPEN
TXNJUN00595,internal,SETTLEMENT_LAG,70073.69,0,3,Monitor,June,OPEN
TXNJUN00503,internal,SETTLEMENT_LAG,36337.46,0,29,Monitor,June,OPEN
TXNJUN00509,internal,SETTLEMENT_LAG,52987.72,0,21,Monitor,June,OPEN
TXNJUN00511,internal,SETTLEMENT_LAG,21091.4,0,13,Monitor,June,OPEN
TXNJUN00600,internal,SETTLEMENT_LAG,83261.71,0,1,Monitor,June,OPEN
TXNJUN00597,internal,SETTLEMENT_LAG,57702.93,0,2,Monitor,June,OPEN
TXNJUN00508,internal,SETTLEMENT_LAG,17061.1,0,15,Monitor,June,OPEN
TXNJUN00513,internal,SETTLEMENT_LAG,45242.72,0,13,Monitor,June,OPEN
TXNJUN00614,internal,SETTLEMENT_LAG,54889.03,0,16,Monitor,June,OPEN
TXNJUN00588,internal,SETTLEMENT_LAG,-19395.08,0,23,Monitor,June,OPEN
TXNJUN00587,internal,SETTLEMENT_LAG,19395.08,0,23,Monitor,June,OPEN
TXNJUN00590,internal,SETTLEMENT_LAG,-4121.55,0,16,Monitor,June,OPEN
TXNJUN00582,internal,SETTLEMENT_LAG,14915.27,0,23,Monitor,June,OPEN
TXNJUN00611,internal,SETTLEMENT_LAG,81459.21,0,16,Monitor,June,OPEN
TXNJUN00609,internal,SETTLEMENT_LAG,79360.61,0,2,Monitor,June,OPEN
TXNJUN00603,internal,SETTLEMENT_LAG,64387.5,0,2,Monitor,June,OPEN
TXNJUN00604,internal,SETTLEMENT_LAG,49188.77,0,1,Monitor,June,OPEN
TXNJUN00581,internal,SETTLEMENT_LAG,49760.72,0,8,Monitor,June,OPEN
TXNJUN00504,internal,SETTLEMENT_LAG,74567.86,0,7,Monitor,June,OPEN
TXNJUN00601,internal,SETTLEMENT_LAG,73204.39,0,0,Monitor,June,OPEN
TXNJUN00613,internal,SETTLEMENT_LAG,87041.65,0,16,Monitor,June,OPEN
TXNJUN00596,internal,SETTLEMENT_LAG,69051.64,0,1,Monitor,June,OPEN
TXNJUN00602,internal,SETTLEMENT_LAG,45916.67,0,3,Monitor,June,OPEN
TXNJUN00615,internal,SETTLEMENT_LAG,89282.26,0,21,Monitor,June,OPEN
TXNJUN00593,internal,SETTLEMENT_LAG,92692.45,0,3,Monitor,June,OPEN
TXNJUN00585,internal,SETTLEMENT_LAG,24946.99,0,10,Monitor,June,OPEN
TXNJUN00586,internal,SETTLEMENT_LAG,-24946.99,0,10,Monitor,June,OPEN
TXNJUN00496,internal,SETTLEMENT_LAG,43555.11,0,23,Monitor,June,OPEN
TXNJUN00606,internal,SETTLEMENT_LAG,45403.63,0,2,Monitor,June,OPEN
TXNJUN00507,internal,SETTLEMENT_LAG,59048.22,0,23,Monitor,June,OPEN
TXNJUN00500,internal,SETTLEMENT_LAG,91550.49,0,17,Monitor,June,OPEN
TXNJUN00495,internal,SETTLEMENT_LAG,70602.91,0,7,Monitor,June,OPEN
