txn_id,amount,status,classification
TXNMAY00290,10652.97,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00313,39469.88,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00318,17688.53,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00199,75452.73,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00299,89465.31,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00197,13110.27,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00317,43913.55,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00198,33168.55,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00292,32569.65,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00324,68677.76,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00323,50677.13,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00192,34673.73,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00319,89806.57,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00200,54473.28,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00300,38932.56,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00327,24166.62,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00297,36761.11,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00302,86921.73,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00307,45672.6,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00309,37830.89,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00296,29142.95,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00182,60479.81,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00180,1807.25,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00177,27431.82,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00185,73794.04,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00320,80081.11,CLEARED_IN_JUNE,PENDING_REVIEW
TXNMAY00291,-10652.97,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00288,30491.0,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00328,35596.64,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00196,25053.34,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00285,4541.21,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00295,-4934.97,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00293,-32569.65,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
TXNMAY00187,31699.86,OPEN_CARRY_FORWARD,SETTLEMENT_LAG
TXNMAY00191,4263.15,OPEN_CARRY_FORWARD,GENUINE_EXCEPTION
