match_group_id,cardinality,match_method,status,variance_inr,internal_txn_id,internal_amount,bank_line_id,bank_amount
MG00019,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00148,64108.54,BLMAY00148,64108.54
MG00020,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00026,18403.16,BLMAY00026,18403.16
MG00021,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00004,40292.71,BLMAY00004,40292.71
MG00022,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00142,39174.12,BLMAY00142,39174.12
MG00023,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00085,32531.89,BLMAY00085,32531.89
MG00024,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00045,81601.71,BLMAY00045,81601.71
MG00025,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00174,72555.32,BLMAY00174,72555.32
MG00026,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00076,80877.78,BLMAY00076,80877.78
MG00027,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00127,38918.98,BLMAY00127,38918.98
MG00028,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00119,55164.62,BLMAY00119,55164.62
MG00029,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00143,48327.34,BLMAY00143,48327.34
MG00030,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00010,25618.45,BLMAY00010,25618.45
MG00031,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00012,85318.72,BLMAY00012,85318.72
MG00032,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00030,20877.16,BLMAY00030,20877.16
MG00033,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00128,9663.85,BLMAY00128,9663.85
MG00034,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00057,12883.88,BLMAY00057,12883.88
MG00035,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00133,30927.35,BLMAY00133,30927.35
MG00036,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00020,40342.32,BLMAY00020,40342.32
MG00037,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00163,8240.19,BLMAY00163,8240.19
MG00038,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00097,43344.75,BLMAY00097,43344.75
MG00039,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00149,20675.16,BLMAY00149,20675.16
MG00040,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00058,85260.47,BLMAY00058,85260.47
MG00041,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00164,58029.06,BLMAY00164,58029.06
MG00042,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00015,84083.71,BLMAY00015,84083.71
MG00043,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00038,57557.63,BLMAY00038,57557.63
MG00044,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00018,2095.42,BLMAY00018,2095.42
MG00045,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00024,76760.34,BLMAY00024,76760.34
MG00046,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00125,94614.12,BLMAY00125,94614.12
MG00047,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00099,72259.1,BLMAY00099,72259.1
MG00048,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00096,63745.15,BLMAY00096,63745.15
MG00049,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00175,88412.22,BLMAY00175,88412.22
MG00050,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00037,50367.13,BLMAY00037,50367.13
MG00051,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00140,65326.29,BLMAY00140,65326.29
MG00052,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00150,37701.21,BLMAY00150,37701.21
MG00053,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00103,87597.01,BLMAY00103,87597.01
MG00054,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00098,44022.26,BLMAY00098,44022.26
MG00055,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00055,54794.82,BLMAY00055,54794.82
MG00056,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00029,88037.59,BLMAY00029,88037.59
MG00057,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00049,41566.45,BLMAY00049,41566.45
MG00058,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00107,31706.5,BLMAY00107,31706.5
MG00059,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00083,1590.56,BLMAY00083,1590.56
MG00060,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00095,94710.58,BLMAY00095,94710.58
MG00061,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00032,81907.37,BLMAY00032,81907.37
MG00062,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00056,40532.6,BLMAY00056,40532.6
MG00063,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00072,33147.56,BLMAY00072,33147.56
MG00064,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00113,57999.35,BLMAY00113,57999.35
MG00065,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00053,64265.68,BLMAY00053,64265.68
MG00066,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00071,78946.66,BLMAY00071,78946.66
MG00067,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00002,56199.17,BLMAY00002,56199.17
MG00068,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00060,36542.59,BLMAY00060,36542.59
MG00069,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00136,40639.43,BLMAY00136,40639.43
MG00070,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00123,10515.79,BLMAY00123,10515.79
MG00071,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00126,63778.57,BLMAY00126,63778.57
MG00072,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00158,14734.41,BLMAY00158,14734.41
MG00073,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00074,69777.11,BLMAY00074,69777.11
MG00074,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00156,31808.25,BLMAY00156,31808.25
MG00075,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00001,2619.77,BLMAY00001,2619.77
MG00076,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00003,68092.86,BLMAY00003,68092.86
MG00077,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00078,68477.07,BLMAY00078,68477.07
MG00078,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00067,94991.27,BLMAY00067,94991.27
MG00079,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00094,91391.08,BLMAY00094,91391.08
MG00080,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00079,28128.82,BLMAY00079,28128.82
MG00081,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00169,80259.59,BLMAY00169,80259.59
MG00082,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00023,63635.64,BLMAY00023,63635.64
MG00083,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00124,61615.06,BLMAY00124,61615.06
MG00084,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00089,25325.22,BLMAY00089,25325.22
MG00085,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00137,14304.63,BLMAY00137,14304.63
MG00086,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00112,34214.4,BLMAY00112,34214.4
MG00087,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00145,66830.71,BLMAY00145,66830.71
MG00088,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00117,37752.59,BLMAY00117,37752.59
MG00089,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00153,43811.72,BLMAY00153,43811.72
MG00090,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00152,36274.66,BLMAY00152,36274.66
MG00091,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00046,18549.05,BLMAY00046,18549.05
MG00092,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00035,94630.14,BLMAY00035,94630.14
MG00093,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00120,12772.14,BLMAY00120,12772.14
MG00094,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00092,75351.56,BLMAY00092,75351.56
MG00095,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00009,36203.4,BLMAY00009,36203.4
MG00096,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00008,15661.48,BLMAY00008,15661.48
MG00097,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00044,2598.51,BLMAY00044,2598.51
MG00098,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00034,63892.65,BLMAY00034,63892.65
MG00099,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00161,7520.26,BLMAY00161,7520.26
MG00100,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00073,78165.85,BLMAY00073,78165.85
MG00101,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00064,93173.41,BLMAY00064,93173.41
MG00102,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00080,32821.01,BLMAY00080,32821.01
MG00103,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00100,92455.66,BLMAY00100,92455.66
MG00104,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00040,15559.89,BLMAY00040,15559.89
MG00105,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00159,14553.21,BLMAY00159,14553.21
MG00106,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00022,60047.01,BLMAY00022,60047.01
MG00107,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00135,21241.84,BLMAY00135,21241.84
MG00108,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00007,73498.23,BLMAY00007,73498.23
MG00109,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00014,56710.43,BLMAY00014,56710.43
MG00110,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00141,70250.92,BLMAY00141,70250.92
MG00111,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00122,25307.45,BLMAY00122,25307.45
MG00112,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00017,79998.17,BLMAY00017,79998.17
MG00113,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00027,42236.64,BLMAY00027,42236.64
MG00114,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00054,29662.24,BLMAY00054,29662.24
MG00115,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00065,17468.83,BLMAY00065,17468.83
MG00116,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00170,14865.45,BLMAY00170,14865.45
MG00117,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00061,39644.61,BLMAY00061,39644.61
MG00118,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00033,39971.56,BLMAY00033,39971.56
MG00119,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00006,92452.72,BLMAY00006,92452.72
MG00120,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00048,41424.92,BLMAY00048,41424.92
MG00121,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00043,53298.96,BLMAY00043,53298.96
MG00122,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00106,30397.21,BLMAY00106,30397.21
MG00123,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00116,81103.53,BLMAY00116,81103.53
MG00124,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00151,24460.47,BLMAY00151,24460.47
MG00125,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00114,24314.35,BLMAY00114,24314.35
MG00126,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00070,55080.38,BLMAY00070,55080.38
MG00127,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00166,63127.25,BLMAY00166,63127.25
MG00128,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00155,41530.35,BLMAY00155,41530.35
MG00129,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00168,29515.06,BLMAY00168,29515.06
MG00130,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00082,49959.34,BLMAY00082,49959.34
MG00131,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00081,68591.69,BLMAY00081,68591.69
MG00132,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00059,67858.38,BLMAY00059,67858.38
MG00133,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00088,81750.79,BLMAY00088,81750.79
MG00134,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00042,85428.5,BLMAY00042,85428.5
MG00135,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00021,11715.15,BLMAY00021,11715.15
MG00136,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00019,92914.03,BLMAY00019,92914.03
MG00137,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00104,55197.74,BLMAY00104,55197.74
MG00138,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00157,69169.17,BLMAY00157,69169.17
MG00139,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00173,61001.71,BLMAY00173,61001.71
MG00140,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00086,7269.29,BLMAY00086,7269.29
MG00141,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00147,35312.53,BLMAY00147,35312.53
MG00142,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00041,85897.23,BLMAY00041,85897.23
MG00143,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00167,35940.36,BLMAY00167,35940.36
MG00144,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00146,70456.82,BLMAY00146,70456.82
MG00145,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00090,38957.04,BLMAY00090,38957.04
MG00146,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00102,26157.01,BLMAY00102,26157.01
MG00147,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00063,41545.46,BLMAY00063,41545.46
MG00148,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00011,43726.21,BLMAY00011,43726.21
MG00149,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00132,51435.41,BLMAY00132,51435.41
MG00150,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00134,70901.78,BLMAY00134,70901.78
MG00151,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00172,35102.93,BLMAY00172,35102.93
MG00152,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00050,63105.96,BLMAY00050,63105.96
MG00153,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00131,77286.77,BLMAY00131,77286.77
MG00154,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00111,82926.88,BLMAY00111,82926.88
MG00155,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00031,47895.07,BLMAY00031,47895.07
MG00156,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00084,82536.7,BLMAY00084,82536.7
MG00157,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00051,12310.52,BLMAY00051,12310.52
MG00158,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00025,82098.53,BLMAY00025,82098.53
MG00159,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00129,90168.77,BLMAY00129,90168.77
MG00160,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00154,38626.81,BLMAY00154,38626.81
MG00161,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00162,18085.69,BLMAY00162,18085.69
MG00162,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00069,44311.97,BLMAY00069,44311.97
MG00163,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00091,22366.91,BLMAY00091,22366.91
MG00164,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00005,34263.3,BLMAY00005,34263.3
MG00165,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00077,83660.32,BLMAY00077,83660.32
MG00166,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00075,26678.45,BLMAY00075,26678.45
MG00167,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00101,21540.39,BLMAY00101,21540.39
MG00168,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00121,44624.4,BLMAY00121,44624.4
MG00169,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00139,38029.68,BLMAY00139,38029.68
MG00170,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00052,79245.46,BLMAY00052,79245.46
MG00171,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00118,75942.0,BLMAY00118,75942.0
MG00172,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00068,79766.93,BLMAY00068,79766.93
MG00173,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00093,47669.74,BLMAY00093,47669.74
MG00174,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00144,26644.34,BLMAY00144,26644.34
MG00175,1:1,Exact 1:1 (Ref+Amt),MATCHED,0.0,TXNMAY00108,13908.73,BLMAY00108,13908.73
MG00176,7:1,N:1 Batch (BATCHMAY009),MATCHED,0.0,TXNMAY00263,17840.57,BLMAY00228,74738.79
MG00176,7:1,N:1 Batch (BATCHMAY009),MATCHED,0.0,TXNMAY00260,680.71,BLMAY00228,74738.79
MG00176,7:1,N:1 Batch (BATCHMAY009),MATCHED,0.0,TXNMAY00264,5820.32,BLMAY00228,74738.79
MG00176,7:1,N:1 Batch (BATCHMAY009),MATCHED,0.0,TXNMAY00259,18763.87,BLMAY00228,74738.79
MG00176,7:1,N:1 Batch (BATCHMAY009),MATCHED,0.0,TXNMAY00261,18604.87,BLMAY00228,74738.79
MG00176,7:1,N:1 Batch (BATCHMAY009),MATCHED,0.0,TXNMAY00262,9359.81,BLMAY00228,74738.79
MG00176,7:1,N:1 Batch (BATCHMAY009),MATCHED,0.0,TXNMAY00265,3668.64,BLMAY00228,74738.79
MG00177,5:1,N:1 Batch (BATCHMAY007),MATCHED,0.0,TXNMAY00249,5787.09,BLMAY00226,35691.14
MG00177,5:1,N:1 Batch (BATCHMAY007),MATCHED,0.0,TXNMAY00251,5227.93,BLMAY00226,35691.14
MG00177,5:1,N:1 Batch (BATCHMAY007),MATCHED,0.0,TXNMAY00252,12939.92,BLMAY00226,35691.14
MG00177,5:1,N:1 Batch (BATCHMAY007),MATCHED,0.0,TXNMAY00253,8559.38,BLMAY00226,35691.14
MG00177,5:1,N:1 Batch (BATCHMAY007),MATCHED,0.0,TXNMAY00250,3176.82,BLMAY00226,35691.14
MG00178,7:1,N:1 Batch (BATCHMAY004),MATCHED,0.0,TXNMAY00234,3452.91,BLMAY00223,57896.9
MG00178,7:1,N:1 Batch (BATCHMAY004),MATCHED,0.0,TXNMAY00230,10722.53,BLMAY00223,57896.9
MG00178,7:1,N:1 Batch (BATCHMAY004),MATCHED,0.0,TXNMAY00232,11665.12,BLMAY00223,57896.9
MG00178,7:1,N:1 Batch (BATCHMAY004),MATCHED,0.0,TXNMAY00235,10285.48,BLMAY00223,57896.9
MG00178,7:1,N:1 Batch (BATCHMAY004),MATCHED,0.0,TXNMAY00236,17519.95,BLMAY00223,57896.9
MG00178,7:1,N:1 Batch (BATCHMAY004),MATCHED,0.0,TXNMAY00233,869.28,BLMAY00223,57896.9
MG00178,7:1,N:1 Batch (BATCHMAY004),MATCHED,0.0,TXNMAY00231,3381.63,BLMAY00223,57896.9
MG00179,7:1,N:1 Batch (BATCHMAY001),PARTIAL_MATCH,-330.26,TXNMAY00214,8903.09,BLMAY00220,65246.93
MG00179,7:1,N:1 Batch (BATCHMAY001),PARTIAL_MATCH,-330.26,TXNMAY00210,19350.39,BLMAY00220,65246.93
MG00179,7:1,N:1 Batch (BATCHMAY001),PARTIAL_MATCH,-330.26,TXNMAY00213,6072.09,BLMAY00220,65246.93
MG00179,7:1,N:1 Batch (BATCHMAY001),PARTIAL_MATCH,-330.26,TXNMAY00212,12151.62,BLMAY00220,65246.93
MG00179,7:1,N:1 Batch (BATCHMAY001),PARTIAL_MATCH,-330.26,TXNMAY00209,2255.96,BLMAY00220,65246.93
MG00179,7:1,N:1 Batch (BATCHMAY001),PARTIAL_MATCH,-330.26,TXNMAY00211,1448.83,BLMAY00220,65246.93
MG00179,7:1,N:1 Batch (BATCHMAY001),PARTIAL_MATCH,-330.26,TXNMAY00215,15395.21,BLMAY00220,65246.93
MG00180,6:1,N:1 Batch (BATCHMAY010),MATCHED,0.0,TXNMAY00269,2191.39,BLMAY00229,53716.49
MG00180,6:1,N:1 Batch (BATCHMAY010),MATCHED,0.0,TXNMAY00270,4103.23,BLMAY00229,53716.49
MG00180,6:1,N:1 Batch (BATCHMAY010),MATCHED,0.0,TXNMAY00267,12413.61,BLMAY00229,53716.49
MG00180,6:1,N:1 Batch (BATCHMAY010),MATCHED,0.0,TXNMAY00266,11571.73,BLMAY00229,53716.49
MG00180,6:1,N:1 Batch (BATCHMAY010),MATCHED,0.0,TXNMAY00271,6810.23,BLMAY00229,53716.49
MG00180,6:1,N:1 Batch (BATCHMAY010),MATCHED,0.0,TXNMAY00268,16626.3,BLMAY00229,53716.49
MG00181,6:1,N:1 Batch (BATCHMAY005),MATCHED,0.0,TXNMAY00237,10746.8,BLMAY00224,68558.65
MG00181,6:1,N:1 Batch (BATCHMAY005),MATCHED,0.0,TXNMAY00239,11152.33,BLMAY00224,68558.65
MG00181,6:1,N:1 Batch (BATCHMAY005),MATCHED,0.0,TXNMAY00240,12396.49,BLMAY00224,68558.65
MG00181,6:1,N:1 Batch (BATCHMAY005),MATCHED,0.0,TXNMAY00241,5940.62,BLMAY00224,68558.65
MG00181,6:1,N:1 Batch (BATCHMAY005),MATCHED,0.0,TXNMAY00242,18858.97,BLMAY00224,68558.65
MG00181,6:1,N:1 Batch (BATCHMAY005),MATCHED,0.0,TXNMAY00238,9463.44,BLMAY00224,68558.65
MG00182,5:1,N:1 Batch (BATCHMAY008),MATCHED,0.0,TXNMAY00257,13219.83,BLMAY00227,64010.32
MG00182,5:1,N:1 Batch (BATCHMAY008),MATCHED,0.0,TXNMAY00258,18307.98,BLMAY00227,64010.32
MG00182,5:1,N:1 Batch (BATCHMAY008),MATCHED,0.0,TXNMAY00254,13231.41,BLMAY00227,64010.32
MG00182,5:1,N:1 Batch (BATCHMAY008),MATCHED,0.0,TXNMAY00255,13185.5,BLMAY00227,64010.32
MG00182,5:1,N:1 Batch (BATCHMAY008),MATCHED,0.0,TXNMAY00256,6065.6,BLMAY00227,64010.32
MG00183,8:1,N:1 Batch (BATCHMAY003),MATCHED,0.0,TXNMAY00226,16407.1,BLMAY00222,95184.96
